"LOINC_CODE","LOINC_NAME","LOINC_COMPONENT","LOINC_PROPERTY","LOINC_TIMEASPECT","LOINC_SYSTEM","LOINC_SCALE","LOINC_METHOD"
"66429-2",Working diagnosis status PhenX,Working diagnosis status,Find,Pt,^Patient,Nom,PhenX
"17243-7",Prolactin [Mass/volume] in Serum or Plasma --pre XXX challenge,Prolactin^pre XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"1500-8",Glucose [Mass/volume] in Serum or Plasma --1 hour post 0.05-0.15 U insulin/kg IV post 12H CFst,Glucose^1H post 0.05-0.15 U insulin/kg IV post 12H CFst,MCnc,Pt,Ser/Plas,Qn,
"12835-5",Prolactin [Mass/volume] in Serum or Plasma --45 minutes post XXX challenge,Prolactin^45M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"21278-7",Follitropin [Units/volume] in Serum or Plasma --45 minutes post dose gonadotropin releasing hormone,Follitropin^45M post dose gonadotropin releasing hormone,ACnc,Pt,Ser/Plas,Qn,
"47921-2",Somatotropin [Units/volume] in Serum or Plasma --45 minutes post dose growth hormone releasing factor,Somatotropin^45M post dose growth hormone releasing factor,ACnc,Pt,Ser/Plas,Qn,
"48105-1",Cortisol [Mass/volume] in Serum or Plasma --8 PM specimen,Cortisol^8 PM specimen,MCnc,Pt,Ser/Plas,Qn,
"13036-9",C peptide [Mass/volume] in Serum or Plasma --6th specimen post XXX challenge,C peptide^6th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"7265-2",Crawfish IgE Ab [Units/volume] in Serum,Astacus astacus Ab.IgE,ACnc,Pt,Ser,Qn,
"30440-2",Monocytes Abnormal [#/volume] in Blood,Monocytes.abnormal,NCnc,Pt,Bld,Qn,
"1443-1",Cortisol [Mass/volume] in Serum or Plasma --pre 1 ug/kg CRH IV,Cortisol^pre 1 ug/kg CRH IV,MCnc,Pt,Ser/Plas,Qn,
"2091-7",Cholesterol in VLDL [Mass/volume] in Serum or Plasma,Cholesterol.in VLDL,MCnc,Pt,Ser/Plas,Qn,
"1881-2",Apolipoprotein LPA [Mass/volume] in Serum or Plasma,Apolipoprotein LPA,MCnc,Pt,Ser/Plas,Qn,
"33944-0",Immunoglobulin light chains.lambda.free [Mass/volume] in Serum or Plasma,Immunoglobulin light chains.lambda.free,MCnc,Pt,Ser/Plas,Qn,
"19080-1",Choriogonadotropin [Units/volume] in Serum or Plasma,Choriogonadotropin,ACnc,Pt,Ser/Plas,Qn,
"2942-1",Sex hormone binding globulin [Mass/volume] in Serum or Plasma,Sex hormone binding globulin,MCnc,Pt,Ser/Plas,Qn,
"32517-5",CD3+CD8+ cells [#/volume] in Unspecified specimen,Cells.CD3+CD8+,NCnc,Pt,XXX,Qn,
"18418-4",Casein IgA Ab [Units/volume] in Serum,Casein Ab.IgA,ACnc,Pt,Ser,Qn,
"30996-3",Timothy recombinant (rPhl p) 5 IgE Ab [Units/volume] in Serum,Phleum pratense recombinant (rPhl p) 5 Ab.IgE,ACnc,Pt,Ser,Qn,
"34250-1",Silver Birch recombinant (rBet v) 4 IgE Ab [Units/volume] in Serum,Betula verrucosa recombinant (rBet v) 4 Ab.IgE,ACnc,Pt,Ser,Qn,
"50477-9",Follitropin [Units/volume] in Serum or Plasma --1st specimen,Follitropin^1st specimen,ACnc,Pt,Ser/Plas,Qn,
"50478-7",Follitropin [Units/volume] in Serum or Plasma --2nd specimen,Follitropin^2nd specimen,ACnc,Pt,Ser/Plas,Qn,
"12824-9",Prolactin [Mass/volume] in Serum or Plasma --3rd specimen post XXX challenge,Prolactin^3rd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"50521-4",Prolactin [Mass/volume] in Serum or Plasma --5th specimen,Prolactin^5th specimen,MCnc,Pt,Ser/Plas,Qn,
"50455-5",Cortisol [Mass/volume] in Serum or Plasma --3rd specimen,Cortisol^3rd specimen,MCnc,Pt,Ser/Plas,Qn,
"1528-9",Glucose [Mass/volume] in Serum or Plasma --30 minutes post dose insulin IV,Glucose^30M post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"27415-9",Interferon gamma [Mass/volume] in Serum or Plasma,Interferon.gamma,MCnc,Pt,Ser/Plas,Qn,
"47668-9",Insulin [Units/volume] in Serum or Plasma --pre dose glucose,Insulin^pre dose glucose,ACnc,Pt,Ser/Plas,Qn,
"27985-1",Borrelia burgdorferi 18kD Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 18kD Ab,ACnc,Pt,Ser,Ord,IB
"56593-7",Follitropin [Units/volume] in Serum or Plasma --3 hours post XXX challenge,Follitropin^3H post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"47772-9",Somatotropin [Units/volume] in Serum or Plasma --45 minutes post dose arginine,Somatotropin^45M post dose arginine,ACnc,Pt,Ser/Plas,Qn,
"44834-0",Acid phosphatase tartrate resistant [Presence] in Bone marrow,Acid phosphatase.tartrate resistant,ACnc,Pt,Bone mar,Ord,
"32529-0",CD3 cells/100 cells in Bone marrow,Cells.CD3/100 cells,NFr,Pt,Bone mar,Qn,
"46993-2",HLA Ab panel in Serum,HLA Ab panel,-,Pt,Ser,-,
"48501-1",HLA Ab [Presence] in Serum by Immunoassay,HLA Ab,ACnc,Pt,Ser,Ord,EIA
"3107-0",Urobilinogen [Mass/volume] in Urine,Urobilinogen,MCnc,Pt,Urine,Qn,
"66877-2",Skin Ab pattern [interpretation] in Serum,Skin Ab pattern,Imp,Pt,Ser,Nom,
"15232-2",Regional Allergen Mix A (Common ragweed+Mugwort+Japenese cedar+Orchard grass+Timothy) IgE Ab [Presence] in Serum by Multidisk,(Ambrosia elatior+Artemisia vulgaris+Cryptomeria japonica+Dactylis glomerata+Phleum pratense) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"17826-9",CD3 cells/100 cells in Body fluid,Cells.CD3/100 cells,NFr,Pt,Body fld,Qn,
"57423-6",CD5 cells/100 cells in Body fluid,Cells.CD5/100 cells,NFr,Pt,Body fld,Qn,
"17220-5",FMC7 cells/100 cells in Blood,Cells.FMC7/100 cells,NFr,Pt,Bld,Qn,
"51297-0",CD38 cells/100 cells in Cerebral spinal fluid,Cells.CD38/100 cells,NFr,Pt,CSF,Qn,
"20628-4",Terminal Deoxyribonucleotidyl Transferase blasts/100 blasts in Unspecified specimen by Immunoperoxidase stain,Blasts.terminal deoxyribonucleotidyl transferase/100 blasts,NFr,Pt,XXX,Qn,Immunoperoxidase stain
"10846-4",Borrelia burgdorferi DNA [Presence] in Blood by Probe with amplification,Borrelia burgdorferi DNA,ACnc,Pt,Bld,Ord,Probe.amp
"51216-0",CD10 cells/100 cells in Bone marrow,Cells.CD10/100 cells,NFr,Pt,Bone mar,Qn,
"8120-8",CD21 cells/100 cells in Blood,Cells.CD21/100 cells,NFr,Pt,Bld,Qn,
"57419-4",CD21 cells/100 cells in Body fluid,Cells.CD21/100 cells,NFr,Pt,Body fld,Qn,
"51269-9",CD23 cells/100 cells in Body fluid,Cells.CD23/100 cells,NFr,Pt,Body fld,Qn,
"30985-6",Silver Birch recombinant (rBet v) 2 IgE Ab [Units/volume] in Serum,Betula verrucosa recombinant (rBet v) 2 Ab.IgE,ACnc,Pt,Ser,Qn,
"25147-0",Calcium carbonate crystals [#/area] in Urine sediment by Microscopy high power field,Calcium carbonate crystals,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"41868-1",Waxy casts [#/volume] in Urine by Computer assisted method,Waxy casts,NCnc,Pt,Urine,Qn,Computer assisted
"9439-1",Casts [#/area] in Urine sediment by Microscopy high power field,Casts,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"9345-0",Coproporphyrin 3 [Mass/volume] in Urine,Coproporphyrin 3,MCnc,Pt,Urine,Qn,
"31111-8",Reticulocyte production index,Reticulocytes/100 erythrocytes^^hematocrit adjusted,NFr,Pt,Bld,Qn,
"10331-7",Rh [Type] in Blood,Rh,Type,Pt,Bld,Nom,
"17818-6",Gamma globulin/Protein.total in Body fluid by Electrophoresis,Gamma globulin/Protein.total,MFr,Pt,Body fld,Qn,Electrophoresis
"51006-5",Direct antiglobulin test.unspecified reagent [Presence] on Red Blood Cells,Direct antiglobulin test.XXX reagent,ACnc,Pt,RBC,Ord,
"13994-9",Beta globulin/Protein.total in Urine by Electrophoresis,Beta globulin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis
"14975-7",Human antimouse Ab [Mass/volume] in Serum,Human antimouse Ab,MCnc,Pt,Ser,Qn,
"8131-5",CD5+CD19+ cells/100 cells in Blood,Cells.CD5+CD19+/100 cells,NFr,Pt,Bld,Qn,
"57430-1",CD235a cells/100 cells in Body fluid,Cells.CD235a/100 cells,NFr,Pt,Body fld,Qn,
"8136-4",CD71 cells/100 cells in Blood,Cells.CD71/100 cells,NFr,Pt,Bld,Qn,
"51354-9",CD19+CD58+ cells/100 cells in Bone marrow,Cells.CD19+CD58+/100 cells,NFr,Pt,Bone mar,Qn,
"51340-8",CD45 (Lymphs) cells/100 cells in Bone marrow,Cells.CD45/100 cells,NFr,Pt,Bone mar,Qn,
"2237-6",Erythropoietin (EPO) [Mass/volume] in Serum or Plasma,Erythropoietin,MCnc,Pt,Ser/Plas,Qn,
"34920-9",Lymphocytes Immunoblastic/100 leukocytes in Blood,Lymphocytes.immunoblastic/100 leukocytes,NFr,Pt,Bld,Qn,
"32527-4",CD2 cells/100 cells in Bone marrow,Cells.CD2/100 cells,NFr,Pt,Bone mar,Qn,
"51221-0",CD103 cells/100 cells in Bone marrow,Cells.CD103/100 cells,NFr,Pt,Bone mar,Qn,
"32533-2",CD3+CD4+ (T4 helper) cells/100 cells in Bone marrow,Cells.CD3+CD4+/100 cells,NFr,Pt,Bone mar,Qn,
"51268-1",CD23 cells/100 cells in Bone marrow,Cells.CD23/100 cells,NFr,Pt,Bone mar,Qn,
"51365-5",CD64 cells/100 cells in Bone marrow,Cells.CD64/100 cells,NFr,Pt,Bone mar,Qn,
"32507-6",CD14 cells/100 cells in Bone marrow,Cells.CD14/100 cells,NFr,Pt,Bone mar,Qn,
"27827-5",Insulin [Units/volume] in Serum or Plasma --30 minutes post XXX challenge,Insulin^30M post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"27828-3",Insulin [Units/volume] in Serum or Plasma --3 hours post XXX challenge,Insulin^3H post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"3333-2",Amitriptyline [Mass/volume] in Serum or Plasma,Amitriptyline,MCnc,Pt,Ser/Plas,Qn,
"8116-6",CD19 cells [#/volume] in Blood,Cells.CD19,NCnc,Pt,Bld,Qn,
"32736-1",Beta 1 globulin/Protein.total in Urine by Electrophoresis,Beta 1 globulin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis
"52774-7",Clotting time.extrinsic coagulation system activated.fibrinolysis suppressed of Blood by Thromboelastography,Clotting time.extrinsic coagulation system activated.fibrinolysis suppressed,Time,Pt,Bld,Qn,Thromboelastography
"31028-4",Amprenavir [Mass/volume] in Serum or Plasma,Amprenavir,MCnc,Pt,Ser/Plas,Qn,
"34348-3",Normetanephrine/Creatinine [Molar ratio] in Urine,Normetanephrine/Creatinine,SCrto,Pt,Urine,Qn,
"38389-3",Coxiella burnetii phase 2 Ab [Titer] in Serum,Coxiella burnetii phase 2 Ab,Titr,Pt,Ser,Qn,
"20423-0",Beta lactamase organism identified in Isolate,Beta lactamase organism identified,Prid,Pt,Isolate,Nom,
"47242-3",Medication or other side effects associated with HIV treatment,Medication or other side effects associated with HIV Rx,Type,Pt,^Patient,Nom,Reported
"7959-0",Leptospira sp Ab [Titer] in Serum,Leptospira sp Ab,Titr,Pt,Ser,Qn,
"12896-7",Borrelia burgdorferi 58kD Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 58kD Ab,ACnc,Pt,Ser,Ord,IB
"28048-7",Borrelia burgdorferi 58kD IgG Ab [Presence] in Cerebral spinal fluid by Immunoblot (IB),Borrelia burgdorferi 58kD Ab.IgG,ACnc,Pt,CSF,Ord,IB
"49973-1",Borrelia burgdorferi 31kD IgG Ab [Presence] in Cerebral spinal fluid by Immunoblot (IB),Borrelia burgdorferi 31kD Ab.IgG,ACnc,Pt,CSF,Ord,IB
"43874-7",Influenza virus A Ag [Presence] in Nasopharynx,Influenza virus A Ag,ACnc,Pt,Nph,Ord,
"22286-9",Entamoeba histolytica Ab [Titer] in Serum,Entamoeba histolytica Ab,Titr,Pt,Ser,Qn,
"3663-2",Gentamicin [Mass/volume] in Serum or Plasma --peak,Gentamicin^peak,MCnc,Pt,Ser/Plas,Qn,
"33002-7",Spelt IgE Ab [Units/volume] in Serum,Triticum spelta Ab.IgE,ACnc,Pt,Ser,Qn,
"6231-5",Rose Hip IgE Ab [Units/volume] in Serum,Rosa spp hip Ab.IgE,ACnc,Pt,Ser,Qn,
"7262-9",Cranberry IgE Ab [Units/volume] in Serum,Vaccinium oxycoccos Ab.IgE,ACnc,Pt,Ser,Qn,
"25743-6",Quinoa IgE Ab [Units/volume] in Serum,Chenopodium quinoa Ab.IgE,ACnc,Pt,Ser,Qn,
"58986-1",Shrimp tropomyosin recombinant (rPen a) 1 IgE Ab [Units/volume] in Serum,Penaeus aztecus tropomyosin recombinant (rPen a) 1 Ab.IgE,ACnc,Pt,Ser,Qn,
"63476-6",Soybean recombinant (rGly m) 4 IgE Ab [Units/volume] in Serum,Glycine max recombinant (rGly m) 4 Ab.IgE,ACnc,Pt,Ser,Qn,
"22522-7",Salmonella paratyphi B H Ab [Titer] in Serum,Salmonella paratyphi B H Ab,Titr,Pt,Ser,Qn,
"42964-7",Salmonella paratyphi B O Ab [Titer] in Serum,Salmonella paratyphi B O Ab,Titr,Pt,Ser,Qn,
"42959-7",Salmonella typhi O Ab [Titer] in Serum,Salmonella typhi O Ab,Titr,Pt,Ser,Qn,
"25611-5",Oriental Cockroach IgE Ab [Units/volume] in Serum,Blatta orientalis Ab.IgE,ACnc,Pt,Ser,Qn,
"20-8",Amoxicillin+Clavulanate [Susceptibility] by Minimum inhibitory concentration (MIC),Amoxicillin+Clavulanate,Susc,Pt,Isolate,OrdQn,MIC
"12-5",Amikacin [Susceptibility] by Minimum inhibitory concentration (MIC),Amikacin,Susc,Pt,Isolate,OrdQn,MIC
"4057-6",Tobramycin [Mass/volume] in Serum or Plasma --peak,Tobramycin^peak,MCnc,Pt,Ser/Plas,Qn,
"4059-2",Tobramycin [Mass/volume] in Serum or Plasma --trough,Tobramycin^trough,MCnc,Pt,Ser/Plas,Qn,
"51633-6",Platelets reticulated/100 platelets in Blood,Platelets.reticulated/100 platelets,NFr,Pt,Bld,Qn,
"56597-8",Latex recombinant (rHev b) 8 IgE Ab [Units/volume] in Serum,Latex recombinant (rHev b) 8 Ab.IgE,ACnc,Pt,Ser,Qn,
"30991-4",Aspergillus fumigatus recombinant (rAsp f) 3 IgE Ab [Units/volume] in Serum,Aspergillus fumigatus recombinant (rAsp f) 3 Ab.IgE,ACnc,Pt,Ser,Qn,
"51774-8",Cefuroxime [Susceptibility] by Minimum inhibitory concentration (MIC),Cefuroxime,Susc,Pt,Isolate,OrdQn,MIC
"56031-8",Doripenem [Susceptibility] by Minimum inhibitory concentration (MIC),Doripenem,Susc,Pt,Isolate,OrdQn,MIC
"253-5","5-Fluorocytosine [Susceptibility] by Minimum inhibitory concentration (MIC)","5-Fluorocytosine",Susc,Pt,Isolate,OrdQn,MIC
"25653-7",Fosfomycin [Susceptibility] by Minimum inhibitory concentration (MIC),Fosfomycin,Susc,Pt,Isolate,OrdQn,MIC
"279-0",Imipenem [Susceptibility] by Minimum inhibitory concentration (MIC),Imipenem,Susc,Pt,Isolate,OrdQn,MIC
"11168-2",Arizona Cypress IgE Ab [Units/volume] in Serum,Cupressus arizonica Ab.IgE,ACnc,Pt,Ser,Qn,
"428-3",Rifampin [Susceptibility] by Minimum inhibitory concentration (MIC),Rifampin,Susc,Pt,Isolate,OrdQn,MIC
"22425-3",Mycoplasma pneumoniae Ab [Titer] in Serum,Mycoplasma pneumoniae Ab,Titr,Pt,Ser,Qn,
"50945-5",Platelet aggregation ADP induced [Presence] in Platelet rich plasma --2 um,Platelet aggregation.adenosine diphosphate induced^2 um,ACnc,Pt,PRP,Ord,
"3319-1",Amikacin [Mass/volume] in Serum or Plasma --peak,Amikacin^peak,MCnc,Pt,Ser/Plas,Qn,
"5050-0",Aspergillus fumigatus Ab [Units/volume] in Serum,Aspergillus fumigatus Ab,ACnc,Pt,Ser,Qn,
"21582-2",Tryptase [Mass/volume] in Serum or Plasma,Tryptase,MCnc,Pt,Ser/Plas,Qn,
"2991-8",Testosterone Free [Mass/volume] in Serum or Plasma,Testosterone.free,MCnc,Pt,Ser/Plas,Qn,
"54024-5",sp100 Ab [Presence] in Serum,sp100 Ab,ACnc,Pt,Ser,Ord,
"21018-7",CD61 cells [#/volume] in Blood,Cells.CD61,NCnc,Pt,Bld,Qn,
"16130-7",Herpes simplex virus 1 DNA [Presence] in Unspecified specimen by Probe and target amplification method,Herpes simplex virus 1 DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"5079-9",Chlamydophila psittaci Ab [Titer] in Serum by Complement fixation,Chlamydophila psittaci Ab,Titr,Pt,Ser,Qn,Comp fix
"5100-3",Coxiella burnetii Ab [Titer] in Serum by Complement fixation,Coxiella burnetii Ab,Titr,Pt,Ser,Qn,Comp fix
"27917-4",Coxsackievirus B3 Ab [Presence] in Cerebral spinal fluid,Coxsackievirus B3 Ab,ACnc,Pt,CSF,Ord,
"31333-8",Coxsackievirus B6 Ab [Units/volume] in Cerebral spinal fluid,Coxsackievirus B6 Ab,ACnc,Pt,CSF,Qn,
"45217-7",Linoleoylcarnitine (C18:2) [Moles/volume] in Dried blood spot,Linoleoylcarnitine (C18:2),SCnc,Pt,Bld.dot,Qn,
"7810-5",Astrovirus Ag [Presence] in Stool by Immunoassay,Astrovirus Ag,ACnc,Pt,Stool,Ord,EIA
"31848-5",Herpes simplex virus 1 Ag [Presence] in Unspecified specimen,Herpes simplex virus 1 Ag,ACnc,Pt,XXX,Ord,
"29378-7",Insulin [Units/volume] in Serum or Plasma --4 hours post XXX challenge,Insulin^4H post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"58503-4",C peptide [Mass/volume] in Serum or Plasma --1 hour post dose glucose,C peptide^1H post dose glucose,MCnc,Pt,Ser/Plas,Qn,
"31851-9",Herpes simplex virus 2 Ag [Presence] in Unspecified specimen,Herpes simplex virus 2 Ag,ACnc,Pt,XXX,Ord,
"31926-9",Parainfluenza virus 2 Ag [Presence] in Unspecified specimen,Parainfluenza virus 2 Ag,ACnc,Pt,XXX,Ord,
"31834-5",Haemophilus influenzae B Ag [Presence] in Unspecified specimen,Haemophilus influenzae B Ag,ACnc,Pt,XXX,Ord,
"22641-5",Glutamine [Moles/volume] in Cerebral spinal fluid,Glutamine,SCnc,Pt,CSF,Qn,
"22650-6",Glycine [Moles/volume] in Cerebral spinal fluid,Glycine,SCnc,Pt,CSF,Qn,
"22657-1",Alanine [Moles/volume] in Cerebral spinal fluid,Alanine,SCnc,Pt,CSF,Qn,
"31900-4",Mumps virus Ag [Presence] in Unspecified specimen,Mumps virus Ag,ACnc,Pt,XXX,Ord,
"49397-3",Herpes virus 7 DNA [#/volume] (viral load) in Serum or Plasma by Probe and target amplification method,Herpes virus 7 DNA,NCnc,Pt,Ser/Plas,Qn,Probe.amp.tar
"32286-7",Hepatitis C virus genotype [Identifier] in Serum or Plasma by Probe and target amplification method,Hepatitis C virus genotype,Prid,Pt,Ser/Plas,Nom,Probe.amp.tar
"26589-2",Beta alanine [Moles/volume] in Cerebral spinal fluid,Beta alanine,SCnc,Pt,CSF,Qn,
"26588-4",Anserine [Moles/volume] in Cerebral spinal fluid,Anserine,SCnc,Pt,CSF,Qn,
"41853-3",Orthopoxvirus DNA [Presence] in Unspecified specimen by Probe and target amplification method,Orthopoxvirus DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"19151-0",Specimen drawn [Date and time] of Serum or Plasma,Specimen drawn,TmStp,Pt,Ser/Plas,Qn,
"16724-7",Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma --3rd specimen post XXX challenge,Dehydroepiandrosterone sulfate^3rd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"1848-1",Androstanolone [Mass/volume] in Serum or Plasma,Androstanolone,MCnc,Pt,Ser/Plas,Qn,
"40982-1",Influenza virus B RNA [Presence] in Unspecified specimen by Probe and target amplification method,Influenza virus B RNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"58670-1",Cortisol [Mass/volume] in Saliva --45 minutes post 1 ug/kg CRH IV,Cortisol^45M post 1 ug/kg CRH IV,MCnc,Pt,Saliva,Qn,
"49060-7",Fondaparinux [Mass/volume] in Serum or Plasma,Fondaparinux,MCnc,Pt,Ser/Plas,Qn,
"41469-8",Ribavirin [Mass/volume] in Serum or Plasma,Ribavirin,MCnc,Pt,Ser/Plas,Qn,
"11449-6",Pregnancy status - Reported,Pregnancy status,Imp,Pt,^Patient,Nom,Reported
"29247-4",Sirolimus [Mass/volume] in Blood,Sirolimus,MCnc,Pt,Bld,Qn,
"11258-1",Hepatitis B virus DNA [Units/volume] in Serum,Hepatitis B virus DNA,ACnc,Pt,Ser,Qn,
"30246-3",Cytomegalovirus DNA [Presence] in Serum or Plasma by Probe and target amplification method,Cytomegalovirus DNA,ACnc,Pt,Ser/Plas,Ord,Probe.amp.tar
"3652-5",Flurazepam [Presence] in Serum or Plasma,Flurazepam,ACnc,Pt,Ser/Plas,Ord,
"3578-2",Doxepin [Presence] in Serum or Plasma,Doxepin,ACnc,Pt,Ser/Plas,Ord,
"3734-1",Maprotiline [Presence] in Serum or Plasma,Maprotiline,ACnc,Pt,Ser/Plas,Ord,
"38481-8",Carnitine free (C0) [Moles/volume] in Dried blood spot,Carnitine.free (C0),SCnc,Pt,Bld.dot,Qn,
"50157-7",Acetylcarnitine (C2) [Moles/volume] in Dried blood spot,Acetylcarnitine (C2),SCnc,Pt,Bld.dot,Qn,
"16475-6",Borrelia burgdorferi Ab [Presence] in Cerebral spinal fluid by Immunoassay,Borrelia burgdorferi Ab,ACnc,Pt,CSF,Ord,EIA
"21351-2",IgM [Presence] in Cerebral spinal fluid by Immunofixation,IgM,ACnc,Pt,CSF,Ord,Immunofixation
"45207-8",Glutarylcarnitine (C5-DC) [Moles/volume] in Dried blood spot,Glutarylcarnitine (C5-DC),SCnc,Pt,Bld.dot,Qn,
"32294-1",Albumin/Creatinine [Ratio] in Urine,Albumin/Creatinine,Ratio,Pt,Urine,Qn,
"33817-8",Insulin [Units/volume] in Serum or Plasma --3rd specimen post XXX challenge,Insulin^3rd specimen post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"47414-8",Pregabalin [Mass/volume] in Serum or Plasma,Pregabalin,MCnc,Pt,Ser/Plas,Qn,
"16933-4",Hepatitis B virus core Ab [Presence] in Serum,Hepatitis B virus core Ab,ACnc,Pt,Ser,Ord,
"22320-6",Hepatitis B virus e Ab [Presence] in Serum,Hepatitis B virus little e Ab,ACnc,Pt,Ser,Ord,
"10886-0",Prostate Specific Ag Free [Mass/volume] in Serum or Plasma,Prostate specific Ag.free,MCnc,Pt,Ser/Plas,Qn,
"30539-1",Neutrophil cytoplasmic Ab.perinuclear [Presence] in Serum,Neutrophil cytoplasmic Ab.perinuclear,ACnc,Pt,Ser,Ord,
"18427-5",Epstein Barr virus early Ab [Presence] in Body fluid,Epstein Barr virus early Ab,ACnc,Pt,Body fld,Ord,
"22296-8",Epstein Barr virus nuclear Ab [Presence] in Serum,Epstein Barr virus nuclear Ab,ACnc,Pt,Ser,Ord,
"41496-1",Herpes virus 6 IgG Ab [Titer] in Serum,Herpes virus 6 Ab.IgG,Titr,Pt,Ser,Qn,
"53536-9",Measles virus IgG Ab [Presence] in Body fluid by Immunoassay,Measles virus Ab.IgG,ACnc,Pt,Body fld,Ord,EIA
"22418-8",Mumps virus IgM Ab [Presence] in Serum,Mumps virus Ab.IgM,ACnc,Pt,Ser,Ord,
"29241-7",Mumps virus IgG Ab [Units/volume] in Body fluid,Mumps virus Ab.IgG,ACnc,Pt,Body fld,Qn,
"5270-4",Parainfluenza virus 3 Ab [Titer] in Serum by Complement fixation,Parainfluenza virus 3 Ab,Titr,Pt,Ser,Qn,Comp fix
"22446-9",Polio virus 1 Ab [Titer] in Serum,Polio virus 1 Ab,Titr,Pt,Ser,Qn,
"16505-0",Calcitonin [Mass/volume] in Serum or Plasma --10 minutes post XXX challenge,Calcitonin^10M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"1501-6",Glucose [Mass/volume] in Serum or Plasma --1 hour post 100 g glucose PO,Glucose^1H post 100 g glucose PO,MCnc,Pt,Ser/Plas,Qn,
"40715-5",Granulocytes Immature [Presence] in Blood,Granulocytes.immature,ACnc,Pt,Bld,Ord,
"34525-6",Erythrocytes.lytic resistant [Units/volume] in Blood by Automated count,Erythrocytes.lytic resistant,ACnc,Pt,Bld,Nom,Automated count
"49412-0",JC virus DNA [#/volume] (viral load) in Unspecified specimen by Probe and target amplification method,JC virus DNA,NCnc,Pt,XXX,Qn,Probe.amp.tar
"14628-2",Bile acid [Moles/volume] in Serum,Bile acid,SCnc,Pt,Ser,Qn,
"58753-5",Hazelnut recombinant (rCor a) 8 IgE Ab [Units/volume] in Serum,Corylus avellana recombinant (rCor a) 8 Ab.IgE,ACnc,Pt,Ser,Qn,
"26817-7",Glucose [Mass/volume] in Serum or Plasma --11 hour post XXX challenge,Glucose^11H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"40012-7",Glucose [Mass/volume] in Serum or Plasma --14 hours post XXX challenge,Glucose^14H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"34628-8",Methotrexate [Moles/volume] in Cerebral spinal fluid,Methotrexate,SCnc,Pt,CSF,Qn,
"29591-5",Enterovirus RNA [Presence] in Unspecified specimen by Probe and target amplification method,Enterovirus RNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"49521-8",Influenza virus A H1 RNA [Presence] in Unspecified specimen by Probe and target amplification method,Influenza virus A H1 RNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"24353-5",Glucose tolerance 2H gestational panel in Urine & Serum or Plasma,Glucose tolerance 2H gestational panel,-,-,Urine+Ser/Plas,Qn,
"24362-6",Renal function 2000 panel in Serum or Plasma,Renal function 2000 panel,-,Pt,Ser/Plas,Qn,
"35678-2",Sodium [Moles/volume] in unspecified time Urine,Sodium,SCnc,XXX,Urine,Qn,
"7768-5",Yellow Jacket IgG Ab [Units/volume] in Serum,Vespula spp Ab.IgG,ACnc,Pt,Ser,Qn,
"21828-9",Cancer registry NAACCR message,Cancer registry,Type,Pt,NAACCR message,Nom,
"49617-4",Bacterial carbapenemase resistance (bla(KPC)) gene [Presence] by Probe and target amplification method,Bacterial carbapenemase resistance (bla(KPC)) gene,ACnc,Pt,Isolate,Ord,Probe.amp.tar
"67209-7",TNM pathologic staging - primary tumor - T PhenX,TNM pathologic staging - primary tumor - T,Find,Pt,^Patient,Ord,Phenx
"49721-4",Haemophilus influenzae type [Identifier] in Isolate,Haemophilus influenzae type,Prid,Pt,Isolate,Nom,
"10457-0",Actin Ag [Presence] in Tissue by Immune stain,Actin Ag,ACnc,Pt,Tiss,Ord,Immune stain
"47010-4",Ber-EP4 Ag [Presence] in Tissue by Immune stain,Ber-EP4 Ag,ACnc,Pt,Tiss,Ord,Immune stain
